Country,Cumulative number of cases,Local chains of transmission,date,Number of new cases since last WHO update,Date of last report,Number recovered,Date last probable case reported,Date for which cumulative number of cases is current,Number_of_deaths
United States,70,NA,2003-06-12,0,NA,36,10/Jun/2003,11/Jun/2003,0
Viet Nam,63,NA,2003-06-12,0,NA,58,14/Apr/2003,7/Jun/2003,5
Total,8445,NA,2003-06-12,13,NA,6670,NA,NA,790
Australia,5,NA,2003-06-13,0,NA,5,12/May/2003,13/Jun/2003,0
Brazil,3,NA,2003-06-13,0,NA,2,9/Jun/2003,9/Jun/2003,0
Canada,242,NA,2003-06-13,4,NA,150,12/Jun/2003,12/Jun/2003,32
China,5327,NA,2003-06-13,0,NA,4530,11/Jun/2003,13/Jun/2003,343
China Hong Kong Special Administrative Region^4,1755,NA,2003-06-13,0,NA,1380,11/Jun/2003,13/Jun/2003,293
China Macao Special Administrative Region,1,NA,2003-06-13,0,NA,1,21/May/2003,12/Jun/2003,0
China Taiwan,693,NA,2003-06-13,5,NA,385,13/Jun/2003,13/Jun/2003,81
Colombia,1,NA,2003-06-13,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-06-13,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-06-13,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-06-13,0,NA,9,4/Jun/2003,13/Jun/2003,0
India,3,NA,2003-06-13,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-06-13,0,NA,2,23/Apr/2003,13/Jun/2003,0
Italy,9,NA,2003-06-13,0,NA,9,29/Apr/2003,12/Jun/2003,0
Kuwait,1,NA,2003-06-13,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-06-13,0,NA,3,20/May/2003,9/Jun/2003,2
Mongolia,9,NA,2003-06-13,0,NA,9,6/May/2003,2/Jun/2003,0
New Zealand,1,NA,2003-06-13,0,NA,1,30/Apr/2003,12/Jun/2003,0
Philippines,14,NA,2003-06-13,0,NA,12,15/May/2003,12/Jun/2003,2
Republic of Ireland,1,NA,2003-06-13,0,NA,1,21/Mar/2003,12/Jun/2003,0
Republic of Korea,3,NA,2003-06-13,0,NA,3,14/May/2003,13/Jun/2003,0
Romania,1,NA,2003-06-13,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-06-13,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-06-13,0,NA,169,18/May/2003,11/Jun/2003,31
South Africa,1,NA,2003-06-13,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-06-13,0,NA,1,2/Apr/2003,5/Jun/2003,0
Sweden,3,NA,2003-06-13,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-06-13,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,9,NA,2003-06-13,0,NA,6,7/Jun/2003,11/Jun/2003,2
United Kingdom,4,NA,2003-06-13,0,NA,4,29/Apr/2003,13/Jun/2003,0
United States,71,NA,2003-06-13,1,NA,36,10/Jun/2003,12/Jun/2003,0
Viet Nam,63,NA,2003-06-13,0,NA,58,14/Apr/2003,7/Jun/2003,5
Total,8454,NA,2003-06-13,10,NA,6793,NA,NA,792
Australia,5,NA,2003-06-16,0,NA,5,12/May/2003,13/Jun/2003,0
Brazil,3,NA,2003-06-16,0,NA,2,9/Jun/2003,9/Jun/2003,0
Canada,243,NA,2003-06-16,1,NA,156,13/Jun/2003,13/Jun/2003,32
China,5326,NA,2003-06-16,0,NA,4656,11/Jun/2003,16/Jun/2003,346
China Hong Kong Special Administrative Region^5,1755,NA,2003-06-16,0,NA,1386,11/Jun/2003,16/Jun/2003,295
China Macao Special Administrative Region,1,NA,2003-06-16,0,NA,1,21/May/2003,12/Jun/2003,0
China Taiwan,698,NA,2003-06-16,6,NA,443,15/Jun/2003,16/Jun/2003,83
Colombia,1,NA,2003-06-16,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-06-16,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-06-16,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-06-16,0,NA,9,4/Jun/2003,16/Jun/2003,0
India,3,NA,2003-06-16,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-06-16,0,NA,2,23/Apr/2003,16/Jun/2003,0
Italy,9,NA,2003-06-16,0,NA,9,29/Apr/2003,16/Jun/2003,0
Kuwait,1,NA,2003-06-16,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-06-16,0,NA,3,20/May/2003,9/Jun/2003,2
Mongolia,9,NA,2003-06-16,0,NA,9,6/May/2003,2/Jun/2003,0
New Zealand,1,NA,2003-06-16,0,NA,1,30/Apr/2003,16/Jun/2003,0
Philippines,14,NA,2003-06-16,0,NA,12,15/May/2003,12/Jun/2003,2
Republic of Ireland,1,NA,2003-06-16,0,NA,1,21/Mar/2003,12/Jun/2003,0
Republic of Korea,3,NA,2003-06-16,0,NA,3,14/May/2003,16/Jun/2003,0
Romania,1,NA,2003-06-16,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-06-16,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-06-16,0,NA,169,18/May/2003,11/Jun/2003,31
South Africa,1,NA,2003-06-16,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-06-16,0,NA,1,2/Apr/2003,5/Jun/2003,0
Sweden,3,NA,2003-06-16,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-06-16,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,9,NA,2003-06-16,0,NA,6,7/Jun/2003,15/Jun/2003,2
United Kingdom,4,NA,2003-06-16,0,NA,4,29/Apr/2003,16/Jun/2003,0
United States,72,NA,2003-06-16,1,NA,36,13/Jun/2003,13/Jun/2003,0
Viet Nam,63,NA,2003-06-16,0,NA,58,14/Apr/2003,7/Jun/2003,5
Total,8460,NA,2003-06-16,8,NA,6989,NA,NA,799
Australia,5,NA,2003-06-17,0,NA,5,12/May/2003,13/Jun/2003,0
Brazil,3,NA,2003-06-17,0,NA,2,9/Jun/2003,9/Jun/2003,0
Canada,247,NA,2003-06-17,5,NA,171,16/Jun/2003,16/Jun/2003,32
China,5326,NA,2003-06-17,0,NA,4725,11/Jun/2003,17/Jun/2003,346
China Hong Kong Special Administrative Region,1755,NA,2003-06-17,0,NA,1387,11/Jun/2003,17/Jun/2003,295
China Macao Special Administrative Region,1,NA,2003-06-17,0,NA,1,21/May/2003,12/Jun/2003,0
China Taiwan,697,NA,2003-06-17,0,NA,460,15/Jun/2003,17/Jun/2003,83
Colombia,1,NA,2003-06-17,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-06-17,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-06-17,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-06-17,0,NA,9,4/Jun/2003,17/Jun/2003,0
India,3,NA,2003-06-17,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-06-17,0,NA,2,23/Apr/2003,16/Jun/2003,0
Italy,9,NA,2003-06-17,0,NA,9,29/Apr/2003,16/Jun/2003,0
Kuwait,1,NA,2003-06-17,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-06-17,0,NA,3,20/May/2003,16/Jun/2003,2
Mongolia,9,NA,2003-06-17,0,NA,9,6/May/2003,2/Jun/2003,0
New Zealand,1,NA,2003-06-17,0,NA,1,30/Apr/2003,17/Jun/2003,0
Philippines,14,NA,2003-06-17,0,NA,12,15/May/2003,12/Jun/2003,2
Republic of Ireland,1,NA,2003-06-17,0,NA,1,21/Mar/2003,12/Jun/2003,0
Republic of Korea,3,NA,2003-06-17,0,NA,3,14/May/2003,17/Jun/2003,0
Romania,1,NA,2003-06-17,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-06-17,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-06-17,0,NA,169,18/May/2003,11/Jun/2003,31
South Africa,1,NA,2003-06-17,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-06-17,0,NA,1,2/Apr/2003,5/Jun/2003,0
Sweden,3,NA,2003-06-17,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-06-17,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,9,NA,2003-06-17,0,NA,6,7/Jun/2003,16/Jun/2003,2
United Kingdom,4,NA,2003-06-17,0,NA,4,29/Apr/2003,17/Jun/2003,0
United States,73,NA,2003-06-17,1,NA,36,16/Jun/2003,16/Jun/2003,0
Viet Nam,63,NA,2003-06-17,0,NA,58,14/Apr/2003,7/Jun/2003,5
Total,8464,NA,2003-06-17,6,NA,7091,NA,NA,799
Australia,5,NA,2003-06-18,0,NA,5,12/May/2003,13/Jun/2003,0
Brazil,3,NA,2003-06-18,0,NA,2,9/Jun/2003,9/Jun/2003,0
Canada,246,NA,2003-06-18,1,NA,176,16/Jun/2003,17/Jun/2003,33
China,5326,NA,2003-06-18,0,NA,4762,11/Jun/2003,18/Jun/2003,347
China Hong Kong Special Administrative Region^4,1755,NA,2003-06-18,0,NA,1393,11/Jun/2003,18/Jun/2003,295
China Macao Special Administrative Region,1,NA,2003-06-18,0,NA,1,21/May/2003,12/Jun/2003,0
China Taiwan,697,NA,2003-06-18,0,NA,469,15/Jun/2003,18/Jun/2003,83
Colombia,1,NA,2003-06-18,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-06-18,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-06-18,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-06-18,0,NA,9,4/Jun/2003,18/Jun/2003,0
India,3,NA,2003-06-18,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-06-18,0,NA,2,23/Apr/2003,18/Jun/2003,0
Italy,9,NA,2003-06-18,0,NA,9,29/Apr/2003,18/Jun/2003,0
Kuwait,1,NA,2003-06-18,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-06-18,0,NA,3,20/May/2003,17/Jun/2003,2
Mongolia,9,NA,2003-06-18,0,NA,9,6/May/2003,2/Jun/2003,0
New Zealand,1,NA,2003-06-18,0,NA,1,30/Apr/2003,17/Jun/2003,0
Philippines,14,NA,2003-06-18,0,NA,12,15/May/2003,12/Jun/2003,2
Republic of Ireland,1,NA,2003-06-18,0,NA,1,21/Mar/2003,12/Jun/2003,0
Republic of Korea,3,NA,2003-06-18,0,NA,3,14/May/2003,18/Jun/2003,0
Romania,1,NA,2003-06-18,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-06-18,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-06-18,0,NA,169,18/May/2003,11/Jun/2003,31
South Africa,1,NA,2003-06-18,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-06-18,0,NA,1,2/Apr/2003,5/Jun/2003,0
Sweden,3,NA,2003-06-18,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-06-18,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,9,NA,2003-06-18,0,NA,6,7/Jun/2003,16/Jun/2003,2
United Kingdom,4,NA,2003-06-18,0,NA,4,29/Apr/2003,17/Jun/2003,0
United States,75,NA,2003-06-18,2,NA,36,17/Jun/2003,17/Jun/2003,0
Viet Nam,63,NA,2003-06-18,0,NA,58,14/Apr/2003,7/Jun/2003,5
Total,8465,NA,2003-06-18,3,NA,7148,NA,NA,801
Australia,5,NA,2003-06-19,0,NA,5,12/May/2003,13/Jun/2003,0
Brazil,3,NA,2003-06-19,0,NA,2,9/Jun/2003,9/Jun/2003,0
Canada,245,NA,2003-06-19,0,NA,175,16/Jun/2003,18/Jun/2003,34
China,5326,NA,2003-06-19,0,NA,4786,11/Jun/2003,19/Jun/2003,347
China Hong Kong Special Administrative Region^4,1755,NA,2003-06-19,0,NA,1396,11/Jun/2003,19/Jun/2003,296
China Macao Special Administrative Region,1,NA,2003-06-19,0,NA,1,21/May/2003,18/Jun/2003,0
China Taiwan,695,NA,2003-06-19,2,NA,472,19/Jun/2003,19/Jun/2003,84
Colombia,1,NA,2003-06-19,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-06-19,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-06-19,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-06-19,0,NA,9,4/Jun/2003,19/Jun/2003,0
India,3,NA,2003-06-19,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-06-19,0,NA,2,23/Apr/2003,19/Jun/2003,0
Italy,9,NA,2003-06-19,0,NA,9,29/Apr/2003,18/Jun/2003,0
Kuwait,1,NA,2003-06-19,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-06-19,0,NA,3,20/May/2003,17/Jun/2003,2
Mongolia,9,NA,2003-06-19,0,NA,9,6/May/2003,2/Jun/2003,0
New Zealand,1,NA,2003-06-19,0,NA,1,30/Apr/2003,19/Jun/2003,0
Philippines,14,NA,2003-06-19,0,NA,12,15/May/2003,12/Jun/2003,2
Republic of Ireland,1,NA,2003-06-19,0,NA,1,21/Mar/2003,12/Jun/2003,0
Republic of Korea,3,NA,2003-06-19,0,NA,3,14/May/2003,19/Jun/2003,0
Romania,1,NA,2003-06-19,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-06-19,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-06-19,0,NA,170,18/May/2003,18/Jun/2003,31
South Africa,1,NA,2003-06-19,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-06-19,0,NA,1,2/Apr/2003,5/Jun/2003,0
Sweden,3,NA,2003-06-19,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-06-19,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,9,NA,2003-06-19,0,NA,6,7/Jun/2003,17/Jun/2003,2
United Kingdom,4,NA,2003-06-19,0,NA,4,29/Apr/2003,17/Jun/2003,0
United States,75,NA,2003-06-19,0,NA,36,17/Jun/2003,18/Jun/2003,0
Viet Nam,63,NA,2003-06-19,0,NA,58,14/Apr/2003,7/Jun/2003,5
Total,8462,NA,2003-06-19,2,NA,7178,NA,NA,804
Australia,5,NA,2003-06-20,0,NA,5,12/May/2003,13/Jun/2003,0
Brazil,3,NA,2003-06-20,0,NA,2,9/Jun/2003,9/Jun/2003,0
Canada,245,NA,2003-06-20,0,NA,180,16/Jun/2003,19/Jun/2003,34
China,5326,NA,2003-06-20,0,NA,4806,11/Jun/2003,20/Jun/2003,347
China Hong Kong Special Administrative Region^4,1755,NA,2003-06-20,0,NA,1403,11/Jun/2003,20/Jun/2003,296
China Macao Special Administrative Region,1,NA,2003-06-20,0,NA,1,21/May/2003,18/Jun/2003,0
China Taiwan,695,NA,2003-06-20,0,NA,480,19/Jun/2003,20/Jun/2003,84
Colombia,1,NA,2003-06-20,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-06-20,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-06-20,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-06-20,0,NA,9,4/Jun/2003,19/Jun/2003,0
India,3,NA,2003-06-20,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-06-20,0,NA,2,23/Apr/2003,19/Jun/2003,0
Italy,9,NA,2003-06-20,0,NA,9,29/Apr/2003,19/Jun/2003,0
Kuwait,1,NA,2003-06-20,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-06-20,0,NA,3,20/May/2003,19/Jun/2003,2
Mongolia,9,NA,2003-06-20,0,NA,9,6/May/2003,2/Jun/2003,0
New Zealand,1,NA,2003-06-20,0,NA,1,30/Apr/2003,19/Jun/2003,0
Philippines,14,NA,2003-06-20,0,NA,12,15/May/2003,20/Jun/2003,2
Republic of Ireland,1,NA,2003-06-20,0,NA,1,21/Mar/2003,12/Jun/2003,0
Republic of Korea,3,NA,2003-06-20,0,NA,3,14/May/2003,20/Jun/2003,0
Romania,1,NA,2003-06-20,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-06-20,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-06-20,0,NA,170,18/May/2003,18/Jun/2003,31
South Africa,1,NA,2003-06-20,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-06-20,0,NA,1,2/Apr/2003,5/Jun/2003,0
Sweden,3,NA,2003-06-20,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-06-20,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,9,NA,2003-06-20,0,NA,6,7/Jun/2003,19/Jun/2003,2
United Kingdom,4,NA,2003-06-20,0,NA,4,29/Apr/2003,20/Jun/2003,0
United States,74,NA,2003-06-20,0,NA,36,17/Jun/2003,19/Jun/2003,0
Viet Nam,63,NA,2003-06-20,0,NA,58,14/Apr/2003,7/Jun/2003,5
Total,8461,NA,2003-06-20,0,NA,7218,NA,NA,804
Australia,5,NA,2003-06-23,0,NA,5,12/May/2003,13/Jun/2003,0
Brazil,3,NA,2003-06-23,0,NA,2,9/Jun/2003,9/Jun/2003,0
Canada,246,NA,2003-06-23,1,NA,182,20/Jun/2003,20/Jun/2003,35
China,5326,NA,2003-06-23,0,NA,4895,11/Jun/2003,23/Jun/2003,347
China Hong Kong Special Administrative Region^5,1755,NA,2003-06-23,0,NA,1411,11/Jun/2003,23/Jun/2003,296
China Macao Special Administrative Region,1,NA,2003-06-23,0,NA,1,21/May/2003,23/Jun/2003,0
China Taiwan,692,NA,2003-06-23,0,NA,486,19/Jun/2003,21/Jun/2003,84
Colombia,1,NA,2003-06-23,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-06-23,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-06-23,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-06-23,0,NA,9,4/Jun/2003,23/Jun/2003,0
India,3,NA,2003-06-23,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-06-23,0,NA,2,23/Apr/2003,19/Jun/2003,0
Italy,9,NA,2003-06-23,0,NA,9,29/Apr/2003,23/Jun/2003,0
Kuwait,1,NA,2003-06-23,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-06-23,0,NA,3,20/May/2003,20/Jun/2003,2
Mongolia,9,NA,2003-06-23,0,NA,9,6/May/2003,2/Jun/2003,0
New Zealand,1,NA,2003-06-23,0,NA,1,30/Apr/2003,19/Jun/2003,0
Philippines,14,NA,2003-06-23,0,NA,12,15/May/2003,23/Jun/2003,2
Republic of Ireland,1,NA,2003-06-23,0,NA,1,21/Mar/2003,12/Jun/2003,0
Republic of Korea,3,NA,2003-06-23,0,NA,3,14/May/2003,23/Jun/2003,0
Romania,1,NA,2003-06-23,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-06-23,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-06-23,0,NA,170,18/May/2003,18/Jun/2003,31
South Africa,1,NA,2003-06-23,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-06-23,0,NA,1,2/Apr/2003,5/Jun/2003,0
Sweden,3,NA,2003-06-23,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-06-23,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,9,NA,2003-06-23,0,NA,7,7/Jun/2003,22/Jun/2003,2
United Kingdom,4,NA,2003-06-23,0,NA,4,29/Apr/2003,23/Jun/2003,0
United States,74,NA,2003-06-23,1,NA,36,17/Jun/2003,20/Jun/2003,0
Viet Nam,63,NA,2003-06-23,0,NA,58,14/Apr/2003,7/Jun/2003,5
Total,8459,NA,2003-06-23,2,NA,7324,NA,NA,805
Australia,5,NA,2003-06-24,0,NA,5,12/May/2003,13/Jun/2003,0
Brazil,3,NA,2003-06-24,0,NA,2,9/Jun/2003,9/Jun/2003,0
Canada,249,NA,2003-06-24,3,NA,188,23/Jun/2003,23/Jun/2003,37
China,5326,NA,2003-06-24,0,NA,4901,11/Jun/2003,24/Jun/2003,347
China Hong Kong Special Administrative Region^4,1755,NA,2003-06-24,0,NA,1417,11/Jun/2003,24/Jun/2003,296
China Macao Special Administrative Region,1,NA,2003-06-24,0,NA,1,21/May/2003,23/Jun/2003,0
China Taiwan,687,NA,2003-06-24,0,NA,492,19/Jun/2003,24/Jun/2003,84
Colombia,1,NA,2003-06-24,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-06-24,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-06-24,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-06-24,0,NA,9,4/Jun/2003,23/Jun/2003,0
India,3,NA,2003-06-24,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-06-24,0,NA,2,23/Apr/2003,19/Jun/2003,0
Italy,9,NA,2003-06-24,0,NA,9,29/Apr/2003,24/Jun/2003,0
Kuwait,1,NA,2003-06-24,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-06-24,0,NA,3,20/May/2003,23/Jun/2003,2
Mongolia,9,NA,2003-06-24,0,NA,9,6/May/2003,2/Jun/2003,0
New Zealand,1,NA,2003-06-24,0,NA,1,30/Apr/2003,19/Jun/2003,0
Philippines,14,NA,2003-06-24,0,NA,12,15/May/2003,24/Jun/2003,2
Republic of Ireland,1,NA,2003-06-24,0,NA,1,21/Mar/2003,12/Jun/2003,0
Republic of Korea,3,NA,2003-06-24,0,NA,3,14/May/2003,23/Jun/2003,0
Romania,1,NA,2003-06-24,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-06-24,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-06-24,0,NA,170,18/May/2003,18/Jun/2003,31
South Africa,1,NA,2003-06-24,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-06-24,0,NA,1,2/Apr/2003,5/Jun/2003,0
Sweden,3,NA,2003-06-24,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-06-24,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,9,NA,2003-06-24,0,NA,7,7/Jun/2003,23/Jun/2003,2
United Kingdom,4,NA,2003-06-24,0,NA,4,29/Apr/2003,23/Jun/2003,0
United States,75,NA,2003-06-24,1,NA,36,17/Jun/2003,23/Jun/2003,0
Viet Nam,63,NA,2003-06-24,0,NA,58,14/Apr/2003,7/Jun/2003,5
Total,8458,NA,2003-06-24,4,NA,7348,NA,NA,807
Australia,5,NA,2003-06-25,0,NA,5,12/May/2003,13/Jun/2003,0
Brazil,3,NA,2003-06-25,0,NA,2,9/Jun/2003,9/Jun/2003,0
Canada^4,250,NA,2003-06-25,1,NA,188,24/Jun/2003,24/Jun/2003,37
China^5,5327,NA,2003-06-25,1,NA,4916,25/Jun/2003,25/Jun/2003,348
China Hong Kong Special Administrative Region^6,1755,NA,2003-06-25,0,NA,1419,11/Jun/2003,25/Jun/2003,296
China Macao Special Administrative Region,1,NA,2003-06-25,0,NA,1,21/May/2003,23/Jun/2003,0
China Taiwan,686,NA,2003-06-25,0,NA,492,19/Jun/2003,25/Jun/2003,84
Colombia,1,NA,2003-06-25,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-06-25,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-06-25,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-06-25,0,NA,9,4/Jun/2003,23/Jun/2003,0
India,3,NA,2003-06-25,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-06-25,0,NA,2,23/Apr/2003,19/Jun/2003,0
Italy,9,NA,2003-06-25,0,NA,9,29/Apr/2003,25/Jun/2003,0
Japan,1,NA,2003-06-25,1,NA,0,25/Jun/2003,25/Jun/2003,0
Kuwait,1,NA,2003-06-25,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-06-25,0,NA,3,20/May/2003,23/Jun/2003,2
Mongolia,9,NA,2003-06-25,0,NA,9,6/May/2003,2/Jun/2003,0
New Zealand,1,NA,2003-06-25,0,NA,1,30/Apr/2003,25/Jun/2003,0
Philippines,14,NA,2003-06-25,0,NA,12,15/May/2003,25/Jun/2003,2
Republic of Ireland,1,NA,2003-06-25,0,NA,1,21/Mar/2003,12/Jun/2003,0
Republic of Korea,3,NA,2003-06-25,0,NA,3,14/May/2003,23/Jun/2003,0
Romania,1,NA,2003-06-25,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-06-25,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-06-25,0,NA,170,18/May/2003,18/Jun/2003,31
South Africa,1,NA,2003-06-25,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-06-25,0,NA,1,2/Apr/2003,5/Jun/2003,0
Sweden,3,NA,2003-06-25,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-06-25,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,9,NA,2003-06-25,0,NA,7,7/Jun/2003,24/Jun/2003,2
United Kingdom,4,NA,2003-06-25,0,NA,4,29/Apr/2003,25/Jun/2003,0
United States,75,NA,2003-06-25,0,NA,36,23/Jun/2003,24/Jun/2003,0
Viet Nam,63,NA,2003-06-25,0,NA,58,14/Apr/2003,7/Jun/2003,5
Total,8460,NA,2003-06-25,3,NA,7365,NA,NA,808
Australia,5,NA,2003-06-26,0,NA,5,12/May/2003,13/Jun/2003,0
Brazil,3,NA,2003-06-26,0,NA,2,9/Jun/2003,9/Jun/2003,0
Canada^4,251,NA,2003-06-26,1,NA,190,25/Jun/2003,25/Jun/2003,37
China^5,5327,NA,2003-06-26,0,NA,4921,25/Jun/2003,26/Jun/2003,348
China Hong Kong Special Administrative Region^6,1755,NA,2003-06-26,0,NA,1419,11/Jun/2003,26/Jun/2003,296
China Macao Special Administrative Region,1,NA,2003-06-26,0,NA,1,21/May/2003,23/Jun/2003,0
China Taiwan,682,NA,2003-06-26,0,NA,491,19/Jun/2003,26/Jun/2003,84
Colombia,1,NA,2003-06-26,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-06-26,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-06-26,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-06-26,0,NA,9,4/Jun/2003,23/Jun/2003,0
India,3,NA,2003-06-26,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-06-26,0,NA,2,23/Apr/2003,19/Jun/2003,0
Italy,9,NA,2003-06-26,0,NA,9,29/Apr/2003,25/Jun/2003,0
Japan,1,NA,2003-06-26,0,NA,0,25/Jun/2003,26/Jun/2003,0
Kuwait,1,NA,2003-06-26,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-06-26,0,NA,3,20/May/2003,23/Jun/2003,2
Mongolia,9,NA,2003-06-26,0,NA,9,6/May/2003,2/Jun/2003,0
New Zealand,1,NA,2003-06-26,0,NA,1,30/Apr/2003,25/Jun/2003,0
Philippines,14,NA,2003-06-26,0,NA,12,15/May/2003,25/Jun/2003,2
